metric,value,percentage,description
accuracy_standard,0.48,48.0,Accuracy standard: % di predizioni corrette sul totale
accuracy_balanced,0.2677250978686385,26.77250978686385,Accuracy bilanciata: accuracy robusta al class imbalance
accuracy_weighted,0.48,48.0,Accuracy pesata: accuracy che considera la distribuzione delle classi
f1_macro,0.23968253968253964,23.968253968253965,F1-Score macro: media non pesata dell'F1 per ogni classe
f1_weighted,0.42430952380952375,42.43095238095238,F1-Score weighted: F1 pesato per il supporto di ogni classe
precision_macro,0.280398322851153,28.039832285115303,Precision macro: media non pesata della precision per ogni classe
precision_weighted,0.4526729559748428,45.26729559748428,Precision weighted: precision pesata per il supporto di ogni classe
recall_macro,0.2677250978686385,26.77250978686385,Recall macro: media non pesata del recall per ogni classe
recall_weighted,0.48,48.0,Recall weighted: recall pesato per il supporto di ogni classe
