metric,value,percentage,description
accuracy_standard,0.565,56.49999999999999,Accuracy standard: % di predizioni corrette sul totale
accuracy_balanced,0.562006200620062,56.2006200620062,Accuracy bilanciata: accuracy robusta al class imbalance
accuracy_weighted,0.565,56.49999999999999,Accuracy pesata: accuracy che considera la distribuzione delle classi
f1_macro,0.5203836930455635,52.038369304556355,F1-Score macro: media non pesata dell'F1 per ogni classe
f1_weighted,0.5218465227817746,52.18465227817746,F1-Score weighted: F1 pesato per il supporto di ogni classe
precision_macro,0.596875,59.68750000000001,Precision macro: media non pesata della precision per ogni classe
precision_weighted,0.5963437500000001,59.634375000000006,Precision weighted: precision pesata per il supporto di ogni classe
recall_macro,0.562006200620062,56.2006200620062,Recall macro: media non pesata del recall per ogni classe
recall_weighted,0.565,56.49999999999999,Recall weighted: recall pesato per il supporto di ogni classe
