metric,value,percentage,description
accuracy_standard,0.33,33.0,Accuracy standard: % di predizioni corrette sul totale
accuracy_balanced,0.4735633850466387,47.35633850466387,Accuracy bilanciata: accuracy robusta al class imbalance
accuracy_weighted,0.33,33.0,Accuracy pesata: accuracy che considera la distribuzione delle classi
f1_macro,0.2708031627132751,27.080316271327508,F1-Score macro: media non pesata dell'F1 per ogni classe
f1_weighted,0.34243782771535586,34.243782771535585,F1-Score weighted: F1 pesato per il supporto di ogni classe
precision_macro,0.3668851848585511,36.68851848585511,Precision macro: media non pesata della precision per ogni classe
precision_weighted,0.5473245730076138,54.73245730076138,Precision weighted: precision pesata per il supporto di ogni classe
recall_macro,0.4735633850466387,47.35633850466387,Recall macro: media non pesata del recall per ogni classe
recall_weighted,0.33,33.0,Recall weighted: recall pesato per il supporto di ogni classe
