metric,value,percentage,description
accuracy_standard,0.4,40.0,Accuracy standard: % di predizioni corrette sul totale
accuracy_balanced,0.3609959640542368,36.099596405423675,Accuracy bilanciata: accuracy robusta al class imbalance
accuracy_weighted,0.4,40.0,Accuracy pesata: accuracy che considera la distribuzione delle classi
f1_macro,0.32020911813001063,32.020911813001064,F1-Score macro: media non pesata dell'F1 per ogni classe
f1_weighted,0.41422395682410895,41.422395682410894,F1-Score weighted: F1 pesato per il supporto di ogni classe
precision_macro,0.3761942558132698,37.61942558132698,Precision macro: media non pesata della precision per ogni classe
precision_weighted,0.4987923685216215,49.87923685216215,Precision weighted: precision pesata per il supporto di ogni classe
recall_macro,0.3609959640542368,36.099596405423675,Recall macro: media non pesata del recall per ogni classe
recall_weighted,0.4,40.0,Recall weighted: recall pesato per il supporto di ogni classe
