metric,value,percentage,description
accuracy_standard,0.515,51.5,Accuracy standard: % di predizioni corrette sul totale
accuracy_balanced,0.5121012101210121,51.210121012101204,Accuracy bilanciata: accuracy robusta al class imbalance
accuracy_weighted,0.515,51.5,Accuracy pesata: accuracy che considera la distribuzione delle classi
f1_macro,0.46876968153563897,46.876968153563894,F1-Score macro: media non pesata dell'F1 per ogni classe
f1_weighted,0.47033681097510877,47.03368109751088,F1-Score weighted: F1 pesato per il supporto di ogni classe
precision_macro,0.5182338758288125,51.82338758288125,Precision macro: media non pesata della precision per ogni classe
precision_weighted,0.5181781193490055,51.81781193490055,Precision weighted: precision pesata per il supporto di ogni classe
recall_macro,0.5121012101210121,51.210121012101204,Recall macro: media non pesata del recall per ogni classe
recall_weighted,0.515,51.5,Recall weighted: recall pesato per il supporto di ogni classe
