filename,emotion,mean_pitch_hz,std_pitch_hz,min_pitch_hz,max_pitch_hz,range_pitch_hz,jitter_percent,shimmer_percent,hnr_db,speaking_rate_syll_sec,duration_sec,tempo,mean_energy_db,std_energy_db,max_energy_db,dynamic_range_db
171111.mp4_negative.mp3,Negative,206.07100433358607,37.11993537188234,153.67630966080236,278.90692458366414,125.23061492286178,0,0,0,0,0,0,-34.859004974365234,0,0.0,0
8395473.mp4_positive.mp3,Positive,225.65610250990596,66.00156685166729,154.2647256658597,539.3219015428833,385.0571758770236,0,0,0,0,0,0,-28.189725875854492,0,0.0,0
8395670.mp4_positive.mp3,Positive,229.70501129766237,51.539648110120844,161.4299347345713,352.73810068436757,191.30816594979626,0,0,0,0,0,0,-28.255081176757812,0,9.5367431640625e-07,0
841111.mp4_positive.mp3,Positive,225.58271954931243,39.27906515913794,149.5231668639549,347.67991503137387,198.15674816741895,0,0,0,0,0,0,-28.29425621032715,0,-9.5367431640625e-07,0
257265.mp4_positive.mp3,Positive,218.72084913182192,39.999067723218154,154.40623971472553,342.56590957194845,188.15966985722292,0,0,0,0,0,0,-19.296295166015625,0,0.0,0
5596228.mp4_positive.mp3,Positive,226.02883363053044,39.07357715629136,160.62991860653236,298.20470729274905,137.5747886862167,0,0,0,0,0,0,-39.158321380615234,0,0.0,0
6814.mp4_negative.mp3,Negative,239.96693131968271,56.62027688086679,143.82652535480585,439.08770991416753,295.2611845593617,0,0,0,0,0,0,-29.983274459838867,0,0.0,0
31659327.mp4_positive.mp3,Positive,208.9117024471604,37.05156731204805,165.41113569580256,278.97969291139907,113.56855721559651,0,0,0,0,0,0,-39.24182891845703,0,0.0,0
29931.mp4_positive.mp3,Positive,223.5799847172377,46.591360472028214,147.83515394537343,333.2209245409189,185.38577059554544,0,0,0,0,0,0,-27.44559669494629,0,-9.5367431640625e-07,0
842327.mp4_positive.mp3,Positive,248.50630058762692,37.64497472282311,201.06959297623072,370.7278288821227,169.65823590589198,0,0,0,0,0,0,-29.946958541870117,0,-9.5367431640625e-07,0
1575.mp4_negative.mp3,Negative,207.01408066145737,29.206579162222916,156.4903858823317,259.01003276726743,102.51964688493572,0,0,0,0,0,0,-37.23908996582031,0,0.0,0
1470684.mp4_positive.mp3,Positive,224.9285302997897,45.385676610275986,158.61158728930187,382.1980947259266,223.58650743662471,0,0,0,0,0,0,-35.63266372680664,0,9.5367431640625e-07,0
17592194.mp4_positive.mp3,Positive,214.83306059780057,42.99974289261318,161.32278883551592,362.52092295225873,201.1981341167428,0,0,0,0,0,0,-34.34194564819336,0,0.0,0
2682838.mp4_negative.mp3,Negative,212.8020585493436,43.71174691231775,155.94539668673866,284.55694427933247,128.6115475925938,0,0,0,0,0,0,-40.528079986572266,0,0.0,0
5572615.mp4_positive.mp3,Positive,220.0648084335231,40.53882225399671,154.9931272774967,332.04247209026573,177.04934481276902,0,0,0,0,0,0,-23.158784866333008,0,9.5367431640625e-07,0
29626.mp4_positive.mp3,Positive,225.6392879930665,41.84025766566689,157.91376871606838,387.12208065440115,229.20831193833277,0,0,0,0,0,0,-25.887287139892578,0,0.0,0
17582212.mp4_positive.mp3,Positive,245.31771967323658,50.690249398358766,165.27264524415793,354.25543820784657,188.98279296368864,0,0,0,0,0,0,-37.22686767578125,0,0.0,0
79797114.mp4_positive.mp3,Positive,223.85370501926437,41.681207012961146,159.4518222396307,365.13952003280673,205.68769779317603,0,0,0,0,0,0,-21.67778205871582,0,0.0,0
844255.mp4_positive.mp3,Positive,232.3778905189687,46.65428028519064,164.03984359812011,449.75936684847545,285.71952325035534,0,0,0,0,0,0,-26.04888916015625,0,-9.5367431640625e-07,0
841618.mp4_positive.mp3,Positive,265.5030232905371,47.50601969816651,233.4353896097188,559.0684421404269,325.6330525307081,0,0,0,0,0,0,-36.68924331665039,0,0.0,0
254424.mp4_positive.mp3,Positive,221.25268140407437,39.230123759783126,162.26058933090943,354.4049651262615,192.1443757953521,0,0,0,0,0,0,-28.928194046020508,0,9.5367431640625e-07,0
7321.mp4_positive.mp3,Positive,218.8848937278757,44.12860095841597,155.21530654956416,347.6067951721792,192.39148862261504,0,0,0,0,0,0,-27.37317657470703,0,9.5367431640625e-07,0
7981490.mp4_negative.mp3,Negative,206.5567219952954,31.01821119213172,138.40668628002243,315.5255401984318,177.1188539184094,0,0,0,0,0,0,-23.115203857421875,0,0.0,0
7981194.mp4_positive.mp3,Positive,222.98938634885923,52.94551183635641,153.8547596052879,575.8755243844868,422.0207647791989,0,0,0,0,0,0,-20.832107543945312,0,0.0,0
26827616.mp4_negative.mp3,Negative,236.7354065132012,48.81228444900968,149.66105711250856,349.3502987820668,199.6892416695582,0,0,0,0,0,0,-27.974363327026367,0,9.5367431640625e-07,0
3380727.mp4_positive.mp3,Positive,224.28962476719164,44.10923355080876,154.4314766218592,376.8734261279493,222.4419495060901,0,0,0,0,0,0,-25.653106689453125,0,9.5367431640625e-07,0
3379644.mp4_positive.mp3,Positive,242.61112755018945,69.38332395406105,159.65302547972203,519.5395502399375,359.8865247602155,0,0,0,0,0,0,-26.357324600219727,0,-9.5367431640625e-07,0
557229.mp4_positive.mp3,Positive,231.99288938557945,37.29838735843977,163.7252649463162,338.4208515542134,174.6955866078972,0,0,0,0,0,0,-32.5652961730957,0,0.0,0
8397050.mp4_positive.mp3,Positive,236.6039334574043,56.32163085464934,160.25070524161148,378.5374513765825,218.28674613497103,0,0,0,0,0,0,-37.485740661621094,0,9.5367431640625e-07,0
